geometry,guidance,nFan,seed,status,leaderLeader,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,totalCollisions,minLeaderGap,minFanCapGap,minFanFanGap,redRMS,goldRMS,redPeak,goldPeak,stopsRed,stopsGold,steps,firstCollisionRelCPA,runtimeSec
headon,waypoint,3,11,ok,0,0,0,0,0,0,3.5665,5.285,5.1138,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.34
headon,waypoint,3,23,ok,0,0,0,0,0,0,3.5665,3.1624,7.3938,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,42,ok,0,0,0,0,0,0,3.5665,3.1485,5.9833,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,77,ok,0,0,1,0,0,1,3.5665,0.3541,3.6269,1.551,1.0686,6.3101,4.5332,0,0,20370,4.79,7.31
headon,waypoint,3,101,ok,0,0,0,0,0,0,3.5665,1.2072,6.933,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,144,ok,0,0,0,0,0,0,3.5665,2.1488,6.4573,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.31
headon,waypoint,3,200,ok,0,0,0,0,0,0,3.5665,2.7395,2.6511,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.31
headon,waypoint,3,256,ok,0,0,0,0,0,0,3.5665,2.6436,6.3254,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.29
headon,waypoint,3,314,ok,0,0,1,0,0,1,3.5665,0.6984,6.1334,1.551,1.0686,6.3101,4.5332,0,0,20370,5.62,7.32
headon,waypoint,3,400,ok,0,0,0,0,0,0,3.5665,2.3258,4.0303,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,512,ok,0,0,0,0,0,0,3.5665,2.6164,2.7606,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,613,ok,0,0,0,0,0,0,3.5665,2.9539,3.5414,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.31
headon,waypoint,3,700,ok,0,0,0,0,0,0,3.5665,2.6968,6.9607,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.41
headon,waypoint,3,808,ok,0,0,0,0,0,0,3.5665,1.2405,5.6366,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.29
headon,waypoint,3,900,ok,0,0,0,0,0,0,3.5665,1.7673,5.8782,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.33
headon,waypoint,3,1024,ok,0,0,0,0,0,0,3.5665,3.4464,7.0077,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.31
headon,waypoint,3,1111,ok,0,0,0,0,0,0,3.5665,3.0988,1.9931,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.28
headon,waypoint,3,1234,ok,0,0,0,0,0,0,3.5665,1.0697,6.9221,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.3
headon,waypoint,3,1337,ok,0,0,0,0,0,0,3.5665,2.6968,1.9179,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.3
headon,waypoint,4,8,ok,0,0,0,0,0,0,3.5665,2.1082,4.6429,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.37
headon,waypoint,4,11,ok,0,0,0,0,0,0,3.5665,3.1472,1.5852,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.35
headon,waypoint,4,23,ok,0,0,0,0,0,0,3.5665,3.15,3.8709,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.4
headon,waypoint,4,42,ok,0,0,0,0,0,0,3.5665,4.903,1.5894,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.4
headon,waypoint,4,77,ok,0,0,0,0,0,0,3.5665,1.8155,1.7524,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.41
headon,waypoint,4,101,ok,0,0,0,0,0,0,3.5665,1.0695,2.5026,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.4
headon,waypoint,4,144,ok,0,0,0,0,0,0,3.5665,1.4217,2.9193,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.38
headon,waypoint,4,200,ok,0,0,0,0,0,0,3.5665,3.7564,3.1716,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.36
headon,waypoint,4,256,ok,0,0,0,0,0,0,3.5665,1.8173,3.5711,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.4
headon,waypoint,4,314,ok,0,0,1,0,0,1,3.5665,0.5468,2.1243,1.551,1.0686,6.3101,4.5332,0,0,20370,5.16,7.35
headon,waypoint,4,400,ok,0,0,0,0,0,0,3.5665,1.4135,3.4385,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.37
headon,waypoint,4,512,ok,0,0,0,0,0,0,3.5665,2.1576,3.0733,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.38
headon,waypoint,4,613,ok,0,0,1,0,0,1,3.5665,0.722,4.1295,1.551,1.0686,6.3101,4.5332,0,0,20370,17.65,7.39
headon,waypoint,4,700,ok,0,0,1,0,0,1,3.5665,0.5116,4.0129,1.551,1.0686,6.3101,4.5332,0,0,20370,4.37,7.38
headon,waypoint,4,808,ok,0,0,1,0,0,1,3.5665,0.9413,2.377,1.551,1.0686,6.3101,4.5332,0,0,20370,5.19,7.42
headon,waypoint,4,900,ok,0,0,0,0,0,0,3.5665,2.7856,4.1594,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.37
headon,waypoint,4,1024,ok,0,0,0,0,0,0,3.5665,1.2984,7.3449,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.38
