mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,3,1069,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,12.9452,9.0992,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,3,1071,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,2.3943,9.2094,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,3,1073,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,3.8069,1.895,2.7258,2.0438,1.555,,8450,3.46
capacity,,,,holdout,3,1075,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,8.7255,9.9791,2.7258,2.0438,1.555,,8450,3.53
capacity,,,,holdout,3,1077,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,8.1153,3.152,2.7258,2.0438,1.555,,8450,3.55
capacity,,,,holdout,3,1079,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,3.2987,10.1888,2.7258,2.0438,1.555,,8450,3.49
capacity,,,,holdout,3,1081,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.4432,7.3652,2.7258,2.0438,1.555,,8450,3.51
capacity,,,,holdout,3,1083,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.0745,5.2119,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1085,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.0089,7.8486,2.7258,2.0438,1.555,,8450,3.49
capacity,,,,holdout,3,1087,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.4576,9.5394,2.7258,2.0438,1.555,,8450,3.57
capacity,,,,holdout,3,1089,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,5.8949,9.8008,2.7258,2.0438,1.555,,8450,3.48
capacity,,,,holdout,3,1091,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,3.8993,8.6878,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,3,1093,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,9.9119,9.4086,2.7258,2.0438,1.555,,8450,3.61
capacity,,,,holdout,3,1095,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,4.5001,6.4793,2.7258,2.0438,1.555,,8450,3.47
capacity,,,,holdout,3,1097,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,2.891,4.8938,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,3,1099,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.0151,7.5061,2.7258,2.0438,1.555,,8450,3.51
capacity,,,,holdout,4,1001,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.691,9.0905,2.7258,2.0438,1.555,,8450,3.55
capacity,,,,holdout,4,1003,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,5.3113,5.867,2.7258,2.0438,1.555,,8450,3.55
capacity,,,,holdout,4,1005,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,1.4832,8.6038,2.7258,2.0438,1.555,,8450,3.58
capacity,,,,holdout,4,1007,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,4.1137,6.38,2.7258,2.0438,1.555,,8450,3.57
capacity,,,,holdout,4,1009,headon,vfield,d5a888c61e,ok,1,0,1,0,0,0,6.7052,0.2577,2.7258,2.0438,1.555,9.71,8450,3.5
capacity,,,,holdout,4,1011,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,8.6497,1.3579,2.7258,2.0438,1.555,,8450,3.52
capacity,,,,holdout,4,1013,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.6005,7.5825,2.7258,2.0438,1.555,,8450,3.55
capacity,,,,holdout,4,1015,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,8.7313,10.3478,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,4,1017,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,4.9291,6.4673,2.7258,2.0438,1.555,,8450,3.59
capacity,,,,holdout,4,1019,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.4925,4.1519,2.7258,2.0438,1.555,,8450,3.5
capacity,,,,holdout,4,1021,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,7.83,9.6789,2.7258,2.0438,1.555,,8450,3.54
capacity,,,,holdout,4,1023,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,10.3209,3.7385,2.7258,2.0438,1.555,,8450,3.53
capacity,,,,holdout,4,1025,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.3904,6.4073,2.7258,2.0438,1.555,,8450,3.56
capacity,,,,holdout,4,1027,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,4.6392,6.9575,2.7258,2.0438,1.555,,8450,3.57
capacity,,,,holdout,4,1029,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,5.5118,4.5014,2.7258,2.0438,1.555,,8450,3.53
capacity,,,,holdout,4,1031,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,1.8613,1.5608,2.7258,2.0438,1.555,,8450,3.57
capacity,,,,holdout,4,1033,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,2.6621,1.9457,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,4,1035,headon,vfield,d5a888c61e,ok,0,0,0,0,0,0,6.663,3.6279,2.7258,2.0438,1.555,,8450,3.53
