mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
grid,,,PR8_x1.25,holdout,3,1005,headon,vfield,9354218355,ok,1,0,0,0,1,0,0.4923,6.2095,2.7258,2.0438,1.555,15.14,8450,3.51
grid,,,PR8_x1.25,holdout,3,1007,headon,vfield,9354218355,ok,0,0,0,0,0,0,3.6974,5.9584,2.7258,2.0438,1.555,,8450,3.49
grid,,,PR8_x1.25,holdout,3,1009,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.6978,5.5645,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1011,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.5218,5.0995,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1013,headon,vfield,9354218355,ok,1,0,0,0,1,0,0.0418,4.73,2.7258,2.0438,1.555,13.35,8450,3.5
grid,,,PR8_x1.25,holdout,3,1015,headon,vfield,9354218355,ok,1,0,0,0,1,0,0.9128,5.4309,2.7258,2.0438,1.555,6.13,8450,3.55
grid,,,PR8_x1.25,holdout,3,1017,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.9681,1.9149,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1019,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.8627,1.3736,2.7258,2.0438,1.555,,8450,3.49
grid,,,PR8_x1.25,holdout,3,1021,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.0784,4.3385,2.7258,2.0438,1.555,,8450,3.5
grid,,,PR8_x1.25,holdout,3,1023,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.3178,5.1415,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1025,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.3689,3.0848,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1027,headon,vfield,9354218355,ok,0,0,0,0,0,0,4.2274,3.1283,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1029,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.6803,5.9109,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1031,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.2205,4.699,2.7258,2.0438,1.555,,8450,3.5
grid,,,PR8_x1.25,holdout,3,1033,headon,vfield,9354218355,ok,0,0,0,0,0,0,4.4403,5.5041,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1035,headon,vfield,9354218355,ok,1,0,0,1,0,0,0.5445,4.9475,2.7258,2.0438,1.555,-27.9,8450,3.53
grid,,,PR8_x1.25,holdout,3,1037,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.486,2.8784,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1039,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.3071,1.8316,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1041,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.3751,4.1336,2.7258,2.0438,1.555,,8450,3.53
grid,,,PR8_x1.25,holdout,3,1043,headon,vfield,9354218355,ok,0,0,0,0,0,0,4.9875,4.8624,2.7258,2.0438,1.555,,8450,3.74
grid,,,PR8_x1.25,holdout,3,1045,headon,vfield,9354218355,ok,0,0,0,0,0,0,3.0292,2.8186,2.7258,2.0438,1.555,,8450,3.67
grid,,,PR8_x1.25,holdout,3,1047,headon,vfield,9354218355,ok,1,0,1,0,0,0,1.3904,0.8091,2.7258,2.0438,1.555,4.18,8450,3.66
grid,,,PR8_x1.25,holdout,3,1049,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.4289,1.7808,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.25,holdout,3,1051,headon,vfield,9354218355,ok,1,0,1,0,0,0,3.4319,0.326,2.7258,2.0438,1.555,3.59,8450,3.57
grid,,,PR8_x1.25,holdout,3,1053,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.2687,5.3511,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.25,holdout,3,1055,headon,vfield,9354218355,ok,0,0,0,0,0,0,1.6803,4.7257,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1.25,holdout,3,1057,headon,vfield,9354218355,ok,0,0,0,0,0,0,2.0719,4.4914,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1.25,holdout,3,1059,headon,vfield,9354218355,ok,0,0,0,0,0,0,5.7911,2.3362,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1.5,holdout,3,1001,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,1.9497,5.7919,2.7258,2.0438,1.555,,8450,3.55
grid,,,PR8_x1.5,holdout,3,1003,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,1.9864,4.002,2.7258,2.0438,1.555,,8450,3.61
grid,,,PR8_x1.5,holdout,3,1005,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,3.2303,5.9879,2.7258,2.0438,1.555,,8450,3.54
grid,,,PR8_x1.5,holdout,3,1007,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,2.9592,6.0273,2.7258,2.0438,1.555,,8450,3.52
grid,,,PR8_x1.5,holdout,3,1009,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,2.5013,6.1811,2.7258,2.0438,1.555,,8450,3.6
grid,,,PR8_x1.5,holdout,3,1011,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,1.9676,5.6143,2.7258,2.0438,1.555,,8450,3.54
grid,,,PR8_x1.5,holdout,3,1013,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,2.7956,2.286,2.7258,2.0438,1.555,,8450,3.57
grid,,,PR8_x1.5,holdout,3,1015,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,3.9609,5.8458,2.7258,2.0438,1.555,,8450,3.55
grid,,,PR8_x1.5,holdout,3,1017,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,3.0966,6.2746,2.7258,2.0438,1.555,,8450,3.56
grid,,,PR8_x1.5,holdout,3,1019,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,1.4312,5.677,2.7258,2.0438,1.555,,8450,3.56
grid,,,PR8_x1.5,holdout,3,1021,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,5.3563,6.0574,2.7258,2.0438,1.555,,8450,3.51
grid,,,PR8_x1.5,holdout,3,1023,headon,vfield,ab832bda41,ok,0,0,0,0,0,0,1.2342,6.1032,2.7258,2.0438,1.555,,8450,3.49
