mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,6,1234,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.5837,2.7389,2.7258,1.3138,0.9996,,20450,7.93
capacity,,,,holdout,6,1337,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,3.7789,1.264,2.7258,1.3138,0.9996,,20450,7.85
capacity,,,,holdout,8,400,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.7505,1.4887,2.7258,1.3138,0.9996,-0.29,20450,7.93
capacity,,,,holdout,8,512,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.6053,1.3991,2.7258,1.3138,0.9996,58.94,20450,7.89
capacity,,,,holdout,8,613,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.4853,1.9035,2.7258,1.3138,0.9996,,20450,8.06
capacity,,,,holdout,8,700,headon,vfield,0829bfe0ae,ok,1,0,0,0,1,0,0.9465,1.3731,2.7258,1.3138,0.9996,18.73,20450,8.12
capacity,,,,holdout,8,808,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.6241,4.0888,2.7258,1.3138,0.9996,,20450,8.03
capacity,,,,holdout,8,900,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.4071,2.2368,2.7258,1.3138,0.9996,,20450,7.95
capacity,,,,holdout,8,1024,headon,vfield,0829bfe0ae,ok,2,0,1,0,1,0,0.5938,0.8819,2.7258,1.3138,0.9996,18.15,20450,7.98
capacity,,,,holdout,8,1111,headon,vfield,0829bfe0ae,ok,2,0,1,0,1,0,0.355,0.0646,2.7258,1.3138,0.9996,9.99,20450,8.01
capacity,,,,holdout,8,1234,headon,vfield,0829bfe0ae,ok,2,0,1,0,1,0,0.5552,0.0336,2.7258,1.3138,0.9996,9.92,20450,8.02
capacity,,,,holdout,8,1337,headon,vfield,0829bfe0ae,ok,0,0,0,0,0,0,1.5194,2.4593,2.7258,1.3138,0.9996,,20450,7.95
capacity,,,,holdout,10,400,headon,vfield,0829bfe0ae,ok,2,0,0,2,0,0,0.5699,2.1387,2.7258,1.3138,0.9996,-88.83,20450,8.09
capacity,,,,holdout,10,512,headon,vfield,0829bfe0ae,ok,2,0,0,0,2,0,0.6433,2.1702,2.7258,1.3138,0.9996,29.67,20450,8.25
capacity,,,,holdout,10,613,headon,vfield,0829bfe0ae,ok,4,0,2,1,1,0,0.2013,0.3191,2.7258,1.3138,0.9996,-41.46,20450,8.05
capacity,,,,holdout,10,700,headon,vfield,0829bfe0ae,ok,2,0,1,1,0,0,0.5712,0.3225,2.7258,1.3138,0.9996,5.43,20450,8.21
capacity,,,,holdout,10,808,headon,vfield,0829bfe0ae,ok,7,0,5,1,1,0,0.1419,0.1424,2.7258,1.3138,0.9996,-4.88,20450,8.08
capacity,,,,holdout,10,900,headon,vfield,0829bfe0ae,ok,2,0,0,2,0,0,0.1204,3.1756,2.7258,1.3138,0.9996,-81.73,20450,8.12
capacity,,,,holdout,10,1024,headon,vfield,0829bfe0ae,ok,4,0,2,1,1,0,0.0276,0.4267,2.7258,1.3138,0.9996,5.06,20450,8.11
capacity,,,,holdout,10,1111,headon,vfield,0829bfe0ae,ok,4,0,1,1,2,0,0.0801,0.6402,2.7258,1.3138,0.9996,5.21,20450,8.21
capacity,,,,holdout,10,1234,headon,vfield,0829bfe0ae,ok,2,1,0,0,1,0,0.2595,0.3131,2.7258,1.3138,0.9996,5.3,20450,8.1
capacity,,,,holdout,10,1337,headon,vfield,0829bfe0ae,ok,4,0,2,2,0,0,0.1979,0.0656,2.7258,1.3138,0.9996,-84.46,20450,8.16
capacity,,,,holdout,12,400,headon,vfield,0829bfe0ae,ok,6,0,1,2,3,0,0.1131,0.9371,2.7258,1.3138,0.9996,3.42,20450,8.43
capacity,,,,holdout,12,512,headon,vfield,0829bfe0ae,ok,3,1,1,0,1,0,0.9358,0.6801,2.7258,1.3138,0.9996,18.53,20450,8.53
capacity,,,,holdout,12,613,headon,vfield,0829bfe0ae,ok,3,0,1,2,0,0,0.0876,0.4653,2.7258,1.3138,0.9996,-4.87,20450,8.41
capacity,,,,holdout,12,700,headon,vfield,0829bfe0ae,ok,2,0,1,0,1,0,0.4436,0.1908,2.7258,1.3138,0.9996,23.04,20450,8.78
capacity,,,,holdout,12,808,headon,vfield,0829bfe0ae,ok,3,0,1,1,1,0,0.0124,0.9537,2.7258,1.3138,0.9996,10.25,20450,8.5
capacity,,,,holdout,12,900,headon,vfield,0829bfe0ae,ok,1,1,0,0,0,0,1.0166,0.701,2.7258,1.3138,0.9996,-44.72,20450,8.46
capacity,,,,holdout,12,1024,headon,vfield,0829bfe0ae,ok,4,0,1,1,2,0,0.7392,0.942,2.7258,1.3138,0.9996,11.64,20450,8.46
capacity,,,,holdout,12,1111,headon,vfield,0829bfe0ae,ok,3,0,2,0,1,0,0.5823,0.4082,2.7258,1.3138,0.9996,6.32,20450,8.45
capacity,,,,holdout,12,1234,headon,vfield,0829bfe0ae,ok,6,0,2,3,1,0,0.0612,0.4274,2.7258,1.3138,0.9996,-47.84,20450,8.57
capacity,,,,holdout,12,1337,headon,vfield,0829bfe0ae,ok,3,0,2,0,1,0,0.6473,0.0058,2.7258,1.3138,0.9996,8.79,20450,8.51
